thitran,huyen,tinh, 1, 2, 3, 4, 5
Thanh Hà,Thanh Hà,Hải Dương,"5,27",8.368,1.588,1997,V
Thanh Miện,Thanh Miện,Hải Dương,"9,59",14.884,1.552,1996,V
Tứ Kỳ,Tứ Kỳ,Hải Dương,"4,38",7.656,1.748,1997,V
An Dương,An Dương,Hải Phòng,"1,79",8.295,4.634,1987,V
An Lão,An Lão,Hải Phòng,"1,66",4.849,2.921,1993,V
Cát Bà,Cát Hải,Hải Phòng,"18,7",12.054,645,1957,V
Cát Hải,Cát Hải,Hải Phòng,"2,94",6.093,2.072,1988,V
Minh Đức,Thủy Nguyên,Hải Phòng,"13,55",11.641,859,1986,V
Núi Đèo,Thủy Nguyên,Hải Phòng,"0,97",5.03,5.186,1986,V
Núi Đối,Kiến Thụy,Hải Phòng,"1,59",3.603,2.266,1987,V
Tiên Lãng,Tiên Lãng,Hải Phòng,"6,23",14.849,2.383,1987,V
Trường Sơn,An Lão,Hải Phòng,"3,6",8.372,2.326,2007,V
Vĩnh Bảo,Vĩnh Bảo,Hải Phòng,"2,52",8.435,3.343,1986,V
Ân Thi,Ân Thi,Hưng Yên,"7,7",9.445,1.227,1996,V
Khoái Châu,Khoái Châu,Hưng Yên,"4,35",8.146,1.873,1997,V
Lương Bằng,Kim Động,Hưng Yên,"7,43",9.991,1.345,2002,V
Như Quỳnh,Văn Lâm,Hưng Yên,"7,07",20.604,2.914,1999,IV
Trần Cao,Phù Cừ,Hưng Yên,"4,8",6.196,1.291,2000,V
Văn Giang,Văn Giang,Hưng Yên,"6,84",11.347,1.659,1999,V
Vương,Tiên Lữ,Hưng Yên,"2,28",5.282,2.317,1995,V
Yên Mỹ,Yên Mỹ,Hưng Yên,"4,22",14.404,3.413,1994,V
Cát Thành,Trực Ninh,Nam Định,"8,3",14.577,1.756,2006,V
Cổ Lễ,Trực Ninh,Nam Định,"4,93",12.158,2.466,1984,V
Cồn,Hải Hậu,Nam Định,"2,15",7.274,3.383,1958,V
Gôi,Vụ Bản,Nam Định,"4,75",7.34,1.545,1986,V
Lâm,Ý Yên,Nam Định,"6,86",10.857,1.583,1986,V
Liễu Đề,Nghĩa Hưng,Nam Định,"4,18",6.254,1.496,1987,V
Mỹ Lộc,Mỹ Lộc,Nam Định,"4,69",5.057,1.078,2003,V
Nam Giang,Nam Trực,Nam Định,"7,02",17.833,2.54,2003,V
Ngô Đồng,Giao Thủy,Nam Định,"2,16",6.006,2.78,1986,V
Ninh Cường,Trực Ninh,Nam Định,"7,43",10.244,1.378,2017,V
Quất Lâm,Giao Thủy,Nam Định,"7,59",9.726,1.281,2003,V
Quỹ Nhất,Nghĩa Hưng,Nam Định,"5,46",6.274,1.146,2007,V
Rạng Đông,Nghĩa Hưng,Nam Định,"13,1",5.882,449,1987,V
Thịnh Long,Hải Hậu,Nam Định,"15,68",23.5,1.498,1997,IV
Xuân Trường,Xuân Trường,Nam Định,"6,16",8.547,1.388,2003,V
Yên Định,Hải Hậu,Nam Định,"1,76",10,5.681,1986,V
Bình Minh,Kim Sơn,Ninh Bình,"9,15",3.6,393,1987,V
Me,Gia Viễn,Ninh Bình,"3,4",5.574,1.639,1986,V
Nho Quan,Nho Quan,Ninh Bình,"2,81",9.299,3.309,1953,V
Phát Diệm,Kim Sơn,Ninh Bình,"1,05",10.687,10.178,1987,V
Thiên Tôn,Hoa Lư,Ninh Bình,"2,16",4.121,1.908,2003,V
Yên Ninh,Yên Khánh,Ninh Bình,"8,12",14.236,1.753,1996,V
Yên Thịnh,Yên Mô,Ninh Bình,"7,63",9.036,1.184,1997,V
An Bài,Quỳnh Phụ,Thái Bình,7,9.4,1.342,2005,V
Diêm Điền,Thái Thụy,Thái Bình,"12,82",22.17,1.729,1986,IV
Đông Hưng,Đông Hưng,Thái Bình,"0,65",4.332,6.664,1986,V
Hưng Hà,Hưng Hà,Thái Bình,"5,5",8,1.454,1989,V
Hưng Nhân,Hưng Hà,Thái Bình,"8,64",14.5,1.678,2005,V
Kiến Xương,Kiến Xương,Thái Bình,"11,26",12.254,1.088,2020,V
Quỳnh Côi,Quỳnh Phụ,Thái Bình,"1,2",6,5000,1969,V
Tiền Hải,Tiền Hải,Thái Bình,"9,39",13.562,1.444,1986,V
Vũ Thư,Vũ Thư,Thái Bình,"1,1",4.532,4.12,1986,V
Bá Hiến,Bình Xuyên,Vĩnh Phúc,"12,81",16.791,1.311,2020,V
Đại Đình,Tam Đảo,Vĩnh Phúc,"34,56",11.52,333,2020,V
Đạo Đức,Bình Xuyên,Vĩnh Phúc,"9,44",14.543,1.541,2020,V
Gia Khánh,Bình Xuyên,Vĩnh Phúc,"9,39",11.221,1.194,2007,V
Hoa Sơn,Lập Thạch,Vĩnh Phúc,"4,85",6.93,1.428,2008,V
Hợp Châu,Tam Đảo,Vĩnh Phúc,"9,99",10.267,1.028,2020,V
Hợp Hòa,Tam Dương,Vĩnh Phúc,"8,61",11.154,1.295,2003,V
Hương Canh,Bình Xuyên,Vĩnh Phúc,"9,95",16.341,1.642,1995,V
Kim Long,Tam Dương,Vĩnh Phúc,"15,1",12.55,831,2023,V
Lập Thạch,Lập Thạch,Vĩnh Phúc,"4,15",5.568,1.341,1995,V
Tam Đảo,Tam Đảo,Vĩnh Phúc,"2,14",734,343,1966,V
Tam Hồng,Yên Lạc,Vĩnh Phúc,"9,3",16.506,1.775,2023,V
Tam Sơn,Sông Lô,Vĩnh Phúc,"3,76",7.655,2.035,2008,V
Thanh Lãng,Bình Xuyên,Vĩnh Phúc,"9,48",13.437,1.417,2007,V
Thổ Tang,Vĩnh Tường,Vĩnh Phúc,"5,27",16.853,3.197,2007,V
Tứ Trưng,Vĩnh Tường,Vĩnh Phúc,"4,97",7.177,1.444,2011,V
Vĩnh Tường,Vĩnh Tường,Vĩnh Phúc,"3,31",3.873,1.17,1995,V
Yên Lạc,Yên Lạc,Vĩnh Phúc,"6,44",14.986,2.327,1997,V
Cẩm Xuyên,Cẩm Xuyên,Hà Tĩnh,"15,53",12.857,828,1986,V
Đồng Lộc,Can Lộc,Hà Tĩnh,"18,69",6.076,325,2018,V
Đức Thọ,Đức Thọ,Hà Tĩnh,"6,70",11.728,1.75,1953,V
Hương Khê,Hương Khê,Hà Tĩnh,"5,66",11.435,2.02,1985,V
Lộc Hà,Lộc Hà,Hà Tĩnh,"9,39",9.624,1.025,2019,V
Nghèn,Can Lộc,Hà Tĩnh,"18,33",16.913,923,1998,V
Phố Châu,Hương Sơn,Hà Tĩnh,"4,22",8.481,2.01,1988,V
Tây Sơn,Hương Sơn,Hà Tĩnh,"4,20",5.859,1.395,1997,V
Thạch Hà,Thạch Hà,Hà Tĩnh,"14,93",13.647,914,2001,V
Thiên Cầm,Cẩm Xuyên,Hà Tĩnh,"14,07",4.939,353,2003,V
Tiên Điền,Nghi Xuân,Hà Tĩnh,"5,05",5.656,1.12,2019,V
Vũ Quang,Vũ Quang,Hà Tĩnh,"37,86",3.835,101,2003,V
Xuân An,Nghi Xuân,Hà Tĩnh,"10,46",11,1.052,1994,V
Anh Sơn,Anh Sơn,Nghệ An,"2,86",5.401,1.888,1988,V
Cầu Giát,Quỳnh Lưu,Nghệ An,"2,82",9.595,3.403,1953,V
Con Cuông,Con Cuông,Nghệ An,"2,5",5.653,2.261,1988,V
Diễn Châu,Diễn Châu,Nghệ An,"0,82",6.896,8.41,1977,V
Đô Lương,Đô Lương,Nghệ An,"2,31",10.102,4.373,1990,V
Hưng Nguyên,Hưng Nguyên,Nghệ An,"7,03",9.66,1.374,1998,V
Kim Sơn,Quế Phong,Nghệ An,"23,44",7.897,337,1990,V
Mường Xén,Kỳ Sơn,Nghệ An,"1,25",2.952,2.362,1984,V
Nam Đàn,Nam Đàn,Nghệ An,"18,70",20.6,1.102,1987,V
Nghĩa Đàn,Nghĩa Đàn,Nghệ An,"8,53",5.558,652,2011,V
Quán Hành,Nghi Lộc,Nghệ An,"3,9",9.02,2.312,1986,V
Quỳ Hợp,Quỳ Hợp,Nghệ An,"7,31",11.98,1.639,1983,V
Tân Kỳ,Tân Kỳ,Nghệ An,"7,35",7.976,1.085,1988,V
Tân Lạc,Quỳ Châu,Nghệ An,"5,48",4.958,905,1990,V
Thạch Giám,Tương Dương,Nghệ An,"69,30",7.6,110,2019,V
Thanh Chương,Thanh Chương,Nghệ An,"2,84",8.964,3.156,1984,V
Yên Thành,Yên Thành,Nghệ An,"2,63",4.855,1.846,1986,V
Đồng Lê,Tuyên Hóa,Quảng Bình,"10,72",6.071,566,1999,V
Hoàn Lão,Bố Trạch,Quảng Bình,"13,04",11.493,881,1986,IV
Kiến Giang,Lệ Thủy,Quảng Bình,"3,14",6.453,2.055,1986,IV
Nông trường Lệ Ninh,Lệ Thủy,Quảng Bình,"11,35",5.296,466,1965,V
Nông trường Việt Trung,Bố Trạch,Quảng Bình,"86,04",9.782,113,1966,V
Phong Nha,Bố Trạch,Quảng Bình,"99,48",12.475,125,2020,V
Quán Hàu,Quảng Ninh,Quảng Bình,"3,24",4.993,1.541,1999,V
Quy Đạt,Minh Hóa,Quảng Bình,"15,27",7.608,498,2000,V
Ái Tử,Triệu Phong,Quảng Trị,"3,45",4.32,1.252,1994,V
Bến Quan,Vĩnh Linh,Quảng Trị,"3,96",3.385,855,1994,V
Cam Lộ,Cam Lộ,Quảng Trị,"9,92",6.981,704,1994,V
Cửa Tùng,Vĩnh Linh,Quảng Trị,"10,47",8.336,796,2009,V
Cửa Việt,Gio Linh,Quảng Trị,"7,34",4.5,613,2005,V
Diên Sanh,Hải Lăng,Quảng Trị,"24,60",8.504,346,2019,V
Gio Linh,Gio Linh,Quảng Trị,"7,53",7.002,930,1994,V
Hồ Xá,Vĩnh Linh,Quảng Trị,"6,92",13,1.879,1994,V
Khe Sanh,Hướng Hóa,Quảng Trị,"12,88",13.927,1.081,1984,V
Krông Klang,Đakrông,Quảng Trị,"18,21",4.732,260,2004,V
Lao Bảo,Hướng Hóa,Quảng Trị,"17,17",12.862,749,1994,V
Bến Sung,Như Thanh,Thanh Hóa,"21,92",10.251,468,2002,V
Bút Sơn,Hoằng Hóa,Thanh Hóa,"7,72",12.089,1.566,1989,V
Cành Nàng,Bá Thước,Thanh Hóa,"25,22",9.597,381,1994,V
Hà Trung,Hà Trung,Thanh Hóa,"5,11",9.196,1.8,1988,V
Hậu Lộc,Hậu Lộc,Thanh Hóa,"9,89",11.574,1.17,1989,V
Hậu Hiền,Thiệu Hóa,Thanh Hóa,"10,41",12.061,1.159,2023,V
Hồi Xuân,Quan Hóa,Thanh Hóa,"72,81",7.214,99,2019,V
Kim Tân,Thạch Thành,Thanh Hóa,"10,76",10.623,987,1990,V
Lam Sơn,Thọ Xuân,Thanh Hóa,"8,91",10.89,1.222,1991,IV
Lang Chánh,Lang Chánh,Thanh Hóa,"26,82",9.479,353,1991,V
Mường Lát,Mường Lát,Thanh Hóa,"129,66",7.084,55,2003,V
Nga Sơn,Nga Sơn,Thanh Hóa,"7,08",12.2,1.723,1988,V
Ngọc Lặc,Ngọc Lặc,Thanh Hóa,"35,13",22.364,637,1988,IV
Nông Cống,Nông Cống,Thanh Hóa,"11,34",14.005,1.235,1987,V
Nưa,Triệu Sơn,Thanh Hóa,"21,20",9.638,455,2019,V
Phong Sơn,Cẩm Thủy,Thanh Hóa,"34,42",18.84,547,2019,V
Quán Lào,Yên Định,Thanh Hóa,"8,24",11.729,1.423,1989,V
Quý Lộc,Yên Định,Thanh Hóa,"13,56",15.008,1.107,2021,V
Rừng Thông,Đông Sơn,Thanh Hóa,"6,03",9.41,1.561,1992,V
Sao Vàng,Thọ Xuân,Thanh Hóa,"18,69",9.397,503,1999,IV
Sơn Lư,Quan Sơn,Thanh Hóa,"54,01",5.366,99,2019,V
Tân Phong,Quảng Xương,Thanh Hóa,"14,63",20.603,1.408,2019,V
Thiệu Hóa,Thiệu Hóa,Thanh Hóa,"10,68",16.95,1.587,2019,V
Thọ Xuân,Thọ Xuân,Thanh Hóa,"4,78",8.102,1.986,1965,V
Thống Nhất,Yên Định,Thanh Hóa,"17,08",7.794,456,2009,V
Thường Xuân,Thường Xuân,Thanh Hóa,"49,53",9.33,188,1988,V
Triệu Sơn,Triệu Sơn,Thanh Hóa,"8,50",14.938,1.757,1988,V
Vân Du,Thạch Thành,Thanh Hóa,"44,52",9.162,206,2004,V
Vĩnh Lộc,Vĩnh Lộc,Thanh Hóa,"5,43",7.547,1.39,1992,V
Yên Cát,Như Xuân,Thanh Hóa,"31,27",8.527,273,1989,V
Yên Lâm,Yên Định,Thanh Hóa,"17,25",8.683,503,2021,V
A Lưới,A Lưới,Thừa Thiên Huế,"13,52",7.682,568,1995,V
Khe Tre,Nam Đông,Thừa Thiên Huế,"4,32",3.48,806,1997,V
